Top-N,Correct Bytes,Complexity Partial Key (Base),Complexity Partial Key (Exponent),Bytes to Guess,Complexity Remaining Key (Base),Complexity Remaining Key (Exponent),Total Complexity ,Total Complexity (Exponent of base 2),Complexity Bruteforce (Base),Complexity Bruteforce (Exponent)
1,11,1,11,5,2,40,1099511627777,40.0,2,128
2,11,2,11,5,2,40,1099511629824,51.0,2,128
3,12,3,12,4,2,32,4295498737,51.01955000865387,2,128
4,13,4,13,3,2,24,83886080,50.0,2,128
5,13,5,13,3,2,24,1237480341,54.18506523353571,2,128
10,14,10,14,2,2,16,100000000065536,62.50699332842307,2,128
20,16,20,16,0,2,0,655360000000000000001,69.1508495181978,2,128
25,16,25,16,0,2,0,23283064365386962890626,74.30169903639559,2,128
30,16,30,16,0,2,0,430467210000000000000001,78.5102495297363,2,128
50,16,50,16,0,2,0,1525878906250000000000000001,90.30169903639559,2,128
100,16,100,16,0,2,0,100000000000000000000000000000001,106.30169903639559,2,128
